c_w,d_tresh,numGapJns,rep,spikeRate
2.2,0.2,0.0,1,25.48
2.2,0.2,0.0,2,25.74
2.4,0.2,0.0,0,23.76
2.4,0.2,0.0,1,25.48
2.4,0.2,0.0,2,26.0
2.6,0.2,0.0,0,26.26
2.6,0.2,0.0,1,23.56
2.6,0.2,0.0,2,27.42
2.8,0.2,0.0,0,26.94
2.8,0.2,0.0,1,20.02
2.8,0.2,0.0,2,24.34
3.0,0.2,0.0,0,23.76
3.0,0.2,0.0,1,25.78
3.0,0.2,0.0,2,25.38
3.2,0.2,0.0,0,24.96
3.2,0.2,0.0,1,26.8
3.2,0.2,0.0,2,24.24
3.4,0.2,0.0,0,25.74
3.4,0.2,0.0,1,25.56
3.4,0.2,0.0,2,25.34
3.6,0.2,0.0,0,25.74
3.6,0.2,0.0,1,26.0
3.6,0.2,0.0,2,27.66
3.8,0.2,0.0,0,21.82
3.8,0.2,0.0,1,25.7
3.8,0.2,0.0,2,24.1
0.0,0.3,0.0,0,26.54
0.0,0.3,0.0,1,25.52
0.0,0.3,0.0,2,26.04
0.2,0.3,0.0,0,25.18
0.2,0.3,0.0,1,25.74
0.2,0.3,0.0,2,26.9
0.4,0.3,0.0,0,26.76
0.4,0.3,0.0,1,25.88
0.4,0.3,0.0,2,26.92
0.6,0.3,0.0,0,25.46
0.6,0.3,0.0,1,26.68
0.6,0.3,0.0,2,26.44
0.8,0.3,0.0,0,26.82
0.8,0.3,0.0,1,27.1
0.8,0.3,0.0,2,25.6
1.0,0.3,0.0,0,22.0
1.0,0.3,0.0,1,27.66
1.0,0.3,0.0,2,25.44
1.2,0.3,0.0,0,24.48
1.2,0.3,0.0,1,25.8
1.2,0.3,0.0,2,24.0
1.4,0.3,0.0,0,25.7
1.4,0.3,0.0,1,25.58
1.4,0.3,0.0,2,25.96
1.6,0.3,0.0,0,27.36
1.6,0.3,0.0,1,25.34
1.6,0.3,0.0,2,25.56
1.8,0.3,0.0,0,25.48
1.8,0.3,0.0,1,22.08
1.8,0.3,0.0,2,0.26
2.0,0.3,0.0,0,26.92
2.0,0.3,0.0,1,26.0
2.0,0.3,0.0,2,26.84
2.2,0.3,0.0,0,26.28
2.2,0.3,0.0,1,26.0
2.2,0.3,0.0,2,24.96
2.4,0.3,0.0,0,25.92
2.4,0.3,0.0,1,24.56
2.4,0.3,0.0,2,24.44
2.6,0.3,0.0,0,27.18
2.6,0.3,0.0,1,24.58
2.6,0.3,0.0,2,23.48
2.8,0.3,0.0,0,25.68
