c_w,d_tresh,numGapJns,rep,spikeRate
2.2,0.2,0.0,1,276.92
2.2,0.2,0.0,2,281.52
2.4,0.2,0.0,0,279.16
2.4,0.2,0.0,1,277.34
2.4,0.2,0.0,2,283.54
2.6,0.2,0.0,0,283.9
2.6,0.2,0.0,1,276.34
2.6,0.2,0.0,2,281.62
2.8,0.2,0.0,0,279.3
2.8,0.2,0.0,1,278.06
2.8,0.2,0.0,2,277.04
3.0,0.2,0.0,0,275.74
3.0,0.2,0.0,1,281.96
3.0,0.2,0.0,2,276.48
3.2,0.2,0.0,0,271.38
3.2,0.2,0.0,1,282.58
3.2,0.2,0.0,2,281.42
3.4,0.2,0.0,0,280.76
3.4,0.2,0.0,1,280.62
3.4,0.2,0.0,2,274.8
3.6,0.2,0.0,0,280.08
3.6,0.2,0.0,1,284.46
3.6,0.2,0.0,2,282.88
3.8,0.2,0.0,0,276.2
3.8,0.2,0.0,1,275.72
3.8,0.2,0.0,2,280.3
0.0,0.3,0.0,0,278.48
0.0,0.3,0.0,1,275.84
0.0,0.3,0.0,2,267.58
0.2,0.3,0.0,0,279.86
0.2,0.3,0.0,1,281.32
0.2,0.3,0.0,2,280.84
0.4,0.3,0.0,0,282.78
0.4,0.3,0.0,1,275.9
0.4,0.3,0.0,2,282.98
0.6,0.3,0.0,0,276.38
0.6,0.3,0.0,1,280.74
0.6,0.3,0.0,2,284.06
0.8,0.3,0.0,0,277.2
0.8,0.3,0.0,1,278.66
0.8,0.3,0.0,2,275.7
1.0,0.3,0.0,0,282.86
1.0,0.3,0.0,1,284.1
1.0,0.3,0.0,2,276.78
1.2,0.3,0.0,0,272.34
1.2,0.3,0.0,1,283.04
1.2,0.3,0.0,2,274.04
1.4,0.3,0.0,0,276.68
1.4,0.3,0.0,1,280.8
1.4,0.3,0.0,2,282.98
1.6,0.3,0.0,0,281.28
1.6,0.3,0.0,1,274.52
1.6,0.3,0.0,2,273.54
1.8,0.3,0.0,0,277.28
1.8,0.3,0.0,1,282.52
1.8,0.3,0.0,2,2.86
2.0,0.3,0.0,0,279.62
2.0,0.3,0.0,1,285.42
2.0,0.3,0.0,2,276.56
2.2,0.3,0.0,0,274.38
2.2,0.3,0.0,1,285.84
2.2,0.3,0.0,2,269.28
2.4,0.3,0.0,0,277.12
2.4,0.3,0.0,1,279.08
2.4,0.3,0.0,2,283.72
2.6,0.3,0.0,0,283.62
2.6,0.3,0.0,1,277.7
2.6,0.3,0.0,2,273.9
2.8,0.3,0.0,0,281.4
2.8,0.3,0.0,1,280.24
2.8,0.3,0.0,2,273.96
3.0,0.3,0.0,0,281.46
3.0,0.3,0.0,1,276.98
3.0,0.3,0.0,2,282.24
3.2,0.3,0.0,0,285.68
3.2,0.3,0.0,1,280.56
3.2,0.3,0.0,2,280.26
3.4,0.3,0.0,0,278.62
3.4,0.3,0.0,1,279.62
3.4,0.3,0.0,2,282.1
3.6,0.3,0.0,0,283.72
3.6,0.3,0.0,1,276.48
3.6,0.3,0.0,2,276.36
3.8,0.3,0.0,0,278.38
3.8,0.3,0.0,1,283.6
3.8,0.3,0.0,2,277.4
0.0,0.4,0.0,0,278.8
0.0,0.4,0.0,1,279.42
0.0,0.4,0.0,2,273.22
0.2,0.4,0.0,0,284.0
0.2,0.4,0.0,1,283.16
0.2,0.4,0.0,2,279.9
0.4,0.4,0.0,0,279.56
0.4,0.4,0.0,1,277.0
0.4,0.4,0.0,2,282.12
0.6,0.4,0.0,0,280.56
0.6,0.4,0.0,1,2.86
0.6,0.4,0.0,2,281.74
0.8,0.4,0.0,0,283.68
0.8,0.4,0.0,1,278.42
0.8,0.4,0.0,2,283.22
1.0,0.4,0.0,0,282.24
1.0,0.4,0.0,1,280.84
1.0,0.4,0.0,2,276.44
1.2,0.4,0.0,0,276.32
1.2,0.4,0.0,1,271.6
1.2,0.4,0.0,2,280.2
1.4,0.4,0.0,0,281.92
1.4,0.4,0.0,1,276.86
1.4,0.4,0.0,2,283.06
1.6,0.4,0.0,0,279.62
1.6,0.4,0.0,1,264.84
1.6,0.4,0.0,2,283.06
1.8,0.4,0.0,0,276.56
1.8,0.4,0.0,1,278.36
1.8,0.4,0.0,2,282.16
2.0,0.4,0.0,0,277.0
2.0,0.4,0.0,1,281.5
2.0,0.4,0.0,2,283.5
2.2,0.4,0.0,0,280.8
2.2,0.4,0.0,1,280.02
2.2,0.4,0.0,2,280.36
2.4,0.4,0.0,0,281.38
2.4,0.4,0.0,1,281.16
2.4,0.4,0.0,2,284.54
2.6,0.4,0.0,0,274.18
2.6,0.4,0.0,1,271.48
2.6,0.4,0.0,2,278.78
2.8,0.4,0.0,0,284.28
2.8,0.4,0.0,1,277.26
2.8,0.4,0.0,2,280.72
3.0,0.4,0.0,0,278.4
3.0,0.4,0.0,1,282.16
3.0,0.4,0.0,2,284.02
3.2,0.4,0.0,0,273.8
3.2,0.4,0.0,1,282.06
3.2,0.4,0.0,2,275.52
3.4,0.4,0.0,0,277.12
3.4,0.4,0.0,1,272.86
3.4,0.4,0.0,2,283.92
3.6,0.4,0.0,0,279.22
3.6,0.4,0.0,1,281.4
3.6,0.4,0.0,2,283.42
3.8,0.4,0.0,0,281.72
3.8,0.4,0.0,1,279.8
3.8,0.4,0.0,2,278.18
0.0,0.5,0.0,0,282.66
0.0,0.5,0.0,1,280.08
0.0,0.5,0.0,2,285.84
0.2,0.5,0.0,0,276.02
0.2,0.5,0.0,1,275.6
0.2,0.5,0.0,2,278.22
0.4,0.5,0.0,0,278.24
0.4,0.5,0.0,1,273.7
0.4,0.5,0.0,2,279.08
0.6,0.5,0.0,0,279.44
0.6,0.5,0.0,1,277.78
0.6,0.5,0.0,2,280.6
0.8,0.5,0.0,0,275.24
0.8,0.5,0.0,1,278.96
0.8,0.5,0.0,2,282.38
1.0,0.5,0.0,0,278.84
1.0,0.5,0.0,1,284.22
1.0,0.5,0.0,2,278.16
1.2,0.5,0.0,0,285.8
1.2,0.5,0.0,1,279.84
1.2,0.5,0.0,2,285.48
1.4,0.5,0.0,0,280.3
1.4,0.5,0.0,1,279.12
1.4,0.5,0.0,2,284.32
1.6,0.5,0.0,0,281.52
1.6,0.5,0.0,1,277.4
1.6,0.5,0.0,2,278.2
1.8,0.5,0.0,0,280.56
1.8,0.5,0.0,1,280.74
1.8,0.5,0.0,2,281.04
2.0,0.5,0.0,0,278.72
2.0,0.5,0.0,1,285.02
2.0,0.5,0.0,2,283.94
2.2,0.5,0.0,0,281.02
2.2,0.5,0.0,1,271.18
2.2,0.5,0.0,2,278.32
2.4,0.5,0.0,0,279.4
2.4,0.5,0.0,1,282.32
2.4,0.5,0.0,2,283.46
2.6,0.5,0.0,0,279.22
2.6,0.5,0.0,1,282.04
2.6,0.5,0.0,2,278.86
2.8,0.5,0.0,0,276.14
2.8,0.5,0.0,1,276.1
2.8,0.5,0.0,2,283.38
3.0,0.5,0.0,0,283.64
3.0,0.5,0.0,1,280.0
3.0,0.5,0.0,2,281.28
3.2,0.5,0.0,0,277.5
3.2,0.5,0.0,1,284.46
3.2,0.5,0.0,2,283.62
3.4,0.5,0.0,0,284.96
3.4,0.5,0.0,1,283.78
3.4,0.5,0.0,2,281.58
3.6,0.5,0.0,0,280.12
3.6,0.5,0.0,1,284.08
3.6,0.5,0.0,2,281.28
3.8,0.5,0.0,0,279.32
3.8,0.5,0.0,1,283.22
3.8,0.5,0.0,2,282.98
0.0,0.6,0.0,0,280.26
0.0,0.6,0.0,1,280.04
0.0,0.6,0.0,2,280.8
0.2,0.6,0.0,0,283.38
0.2,0.6,0.0,1,281.78
0.2,0.6,0.0,2,285.02
0.4,0.6,0.0,0,278.7
0.4,0.6,0.0,1,277.28
0.4,0.6,0.0,2,271.7
0.6,0.6,0.0,0,283.8
0.6,0.6,0.0,1,282.34
0.6,0.6,0.0,2,280.78
0.8,0.6,0.0,0,274.0
0.8,0.6,0.0,1,283.62
0.8,0.6,0.0,2,283.66
1.0,0.6,0.0,0,275.42
1.0,0.6,0.0,1,279.3
1.0,0.6,0.0,2,272.62
1.2,0.6,0.0,0,280.68
1.2,0.6,0.0,1,274.96
1.2,0.6,0.0,2,280.64
1.4,0.6,0.0,0,281.12
1.4,0.6,0.0,1,277.18
1.4,0.6,0.0,2,283.8
1.6,0.6,0.0,0,283.0
1.6,0.6,0.0,1,281.2
1.6,0.6,0.0,2,278.84
1.8,0.6,0.0,0,270.54
1.8,0.6,0.0,1,280.52
1.8,0.6,0.0,2,282.1
2.0,0.6,0.0,0,283.22
2.0,0.6,0.0,1,276.76
2.0,0.6,0.0,2,280.16
2.2,0.6,0.0,0,275.76
2.2,0.6,0.0,1,268.68
2.2,0.6,0.0,2,274.72
2.4,0.6,0.0,0,280.46
2.4,0.6,0.0,1,273.36
