c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,83.18
0.0,0,0.0,1,83.18
0.0,0,0.0,2,83.18
0.2,0,0.0,0,83.18
0.2,0,0.0,1,83.18
0.2,0,0.0,2,83.18
0.4,0,0.0,0,83.18
0.4,0,0.0,1,83.18
0.4,0,0.0,2,83.18
0.6,0,0.0,0,83.18
0.6,0,0.0,1,83.18
0.6,0,0.0,2,83.18
0.8,0,0.0,0,83.18
0.8,0,0.0,1,83.18
0.8,0,0.0,2,83.18
1.0,0,0.0,0,83.18
1.0,0,0.0,1,83.18
1.0,0,0.0,2,83.18
1.2,0,0.0,0,83.18
1.2,0,0.0,1,83.18
1.2,0,0.0,2,83.18
1.4,0,0.0,0,83.18
1.4,0,0.0,1,83.18
1.4,0,0.0,2,83.18
1.6,0,0.0,0,83.18
1.6,0,0.0,1,83.18
1.6,0,0.0,2,83.18
1.8,0,0.0,0,83.18
1.8,0,0.0,1,83.18
1.8,0,0.0,2,83.18
2.0,0,0.0,0,83.18
2.0,0,0.0,1,83.18
2.0,0,0.0,2,83.18
2.2,0,0.0,0,83.18
2.2,0,0.0,1,83.18
2.2,0,0.0,2,83.18
2.4,0,0.0,0,83.18
2.4,0,0.0,1,83.18
2.4,0,0.0,2,83.18
2.6,0,0.0,0,83.18
2.6,0,0.0,1,83.18
2.6,0,0.0,2,83.18
2.8,0,0.0,0,83.18
2.8,0,0.0,1,83.18
2.8,0,0.0,2,83.18
3.0,0,0.0,0,83.18
3.0,0,0.0,1,83.18
3.0,0,0.0,2,83.18
3.2,0,0.0,0,83.18
3.2,0,0.0,1,83.18
3.2,0,0.0,2,83.18
3.4,0,0.0,0,83.18
3.4,0,0.0,1,83.18
3.4,0,0.0,2,83.18
3.6,0,0.0,0,83.18
3.6,0,0.0,1,83.18
3.6,0,0.0,2,83.18
3.8,0,0.0,0,83.18
3.8,0,0.0,1,83.18
3.8,0,0.0,2,83.18
0.0,1,0.0,0,83.18
0.0,1,0.0,1,83.18
0.0,1,0.0,2,83.18
0.2,1,0.5,0,74.58
0.2,1,0.5,1,74.58
0.2,1,0.5,2,74.58
0.4,1,0.5,0,72.9
0.4,1,0.5,1,72.9
0.4,1,0.5,2,72.9
0.6,1,0.5,0,64.3
0.6,1,0.5,1,64.3
0.6,1,0.5,2,64.3
0.8,1,0.5,0,66.58
0.8,1,0.5,1,66.58
0.8,1,0.5,2,66.58
1.0,1,0.5,0,68.64
1.0,1,0.5,1,68.64
1.0,1,0.5,2,68.64
1.2,1,0.5,0,63.14
1.2,1,0.5,1,63.14
1.2,1,0.5,2,63.14
1.4,1,0.5,0,60.5
1.4,1,0.5,1,60.5
1.4,1,0.5,2,60.5
1.6,1,0.5,0,59.56
1.6,1,0.5,1,59.56
1.6,1,0.5,2,59.56
1.8,1,0.5,0,68.36
1.8,1,0.5,1,68.36
1.8,1,0.5,2,68.36
2.0,1,0.5,0,54.86
2.0,1,0.5,1,54.86
2.0,1,0.5,2,54.86
2.2,1,0.5,0,40.72
2.2,1,0.5,1,40.72
2.2,1,0.5,2,40.72
2.4,1,0.5,0,69.84
2.4,1,0.5,1,69.84
2.4,1,0.5,2,69.84
2.6,1,0.5,0,69.36
2.6,1,0.5,1,69.36
2.6,1,0.5,2,69.36
2.8,1,0.5,0,52.56
2.8,1,0.5,1,52.56
2.8,1,0.5,2,52.56
3.0,1,0.5,0,65.26
3.0,1,0.5,1,65.26
3.0,1,0.5,2,65.26
3.2,1,0.5,0,64.58
3.2,1,0.5,1,64.58
3.2,1,0.5,2,64.58
3.4,1,0.5,0,61.44
3.4,1,0.5,1,61.44
3.4,1,0.5,2,61.44
3.6,1,0.5,0,53.08
3.6,1,0.5,1,53.08
3.6,1,0.5,2,53.08
3.8,1,0.5,0,65.42
3.8,1,0.5,1,65.42
3.8,1,0.5,2,65.42
0.0,2,0.0,0,83.18
0.0,2,0.0,1,83.18
0.0,2,0.0,2,83.18
0.2,2,1.0,0,70.5
0.2,2,1.0,1,70.5
0.2,2,1.0,2,70.5
0.4,2,1.0,0,62.6
0.4,2,1.0,1,62.6
0.4,2,1.0,2,62.6
0.6,2,1.0,0,79.82
0.6,2,1.0,1,79.82
0.6,2,1.0,2,79.82
0.8,2,1.0,0,60.18
0.8,2,1.0,1,60.18
0.8,2,1.0,2,60.18
1.0,2,1.0,0,70.6
1.0,2,1.0,1,70.6
1.0,2,1.0,2,70.6
1.2,2,1.0,0,61.42
1.2,2,1.0,1,61.42
1.2,2,1.0,2,61.42
1.4,2,1.0,0,53.44
1.4,2,1.0,1,53.44
1.4,2,1.0,2,53.44
1.6,2,1.0,0,59.82
1.6,2,1.0,1,59.82
1.6,2,1.0,2,59.82
1.8,2,1.0,0,72.82
1.8,2,1.0,1,72.82
1.8,2,1.0,2,72.82
2.0,2,1.0,0,37.46
2.0,2,1.0,1,37.46
2.0,2,1.0,2,37.46
2.2,2,1.0,0,62.02
2.2,2,1.0,1,62.02
2.2,2,1.0,2,62.02
2.4,2,1.0,0,53.86
2.4,2,1.0,1,53.86
2.4,2,1.0,2,53.86
2.6,2,1.0,0,20.16
2.6,2,1.0,1,20.16
2.6,2,1.0,2,20.16
2.8,2,1.0,0,63.98
2.8,2,1.0,1,63.98
2.8,2,1.0,2,63.98
3.0,2,1.0,0,49.64
3.0,2,1.0,1,49.64
3.0,2,1.0,2,49.64
3.2,2,1.0,0,20.34
3.2,2,1.0,1,20.34
3.2,2,1.0,2,20.34
3.4,2,1.0,0,26.0
3.4,2,1.0,1,26.0
3.4,2,1.0,2,26.0
3.6,2,1.0,0,1.74
3.6,2,1.0,1,1.74
3.6,2,1.0,2,1.74
3.8,2,1.0,0,1.72
3.8,2,1.0,1,1.72
3.8,2,1.0,2,1.72
0.0,3,0.0,0,83.18
0.0,3,0.0,1,83.18
0.0,3,0.0,2,83.18
0.2,3,1.5,0,35.24
0.2,3,1.5,1,35.24
0.2,3,1.5,2,35.24
0.4,3,1.5,0,30.02
0.4,3,1.5,1,30.02
0.4,3,1.5,2,30.02
0.6,3,1.5,0,42.4
0.6,3,1.5,1,42.4
0.6,3,1.5,2,42.4
0.8,3,1.5,0,12.56
0.8,3,1.5,1,12.56
