c_w,k,numGapJns,rep,spikeRate
3.4,2,1.0,2,0.62
3.6,2,1.0,0,0.62
3.6,2,1.0,1,0.74
3.6,2,1.0,2,1.38
3.8,2,1.0,0,0.58
3.8,2,1.0,1,0.74
3.8,2,1.0,2,0.78
0.0,3,0.0,0,1.1
0.0,3,0.0,1,0.86
0.0,3,0.0,2,2.62
0.2,3,1.5,0,1.34
0.2,3,1.5,1,1.46
0.2,3,1.5,2,1.96
0.4,3,1.5,0,47.68
0.4,3,1.5,1,2.72
0.4,3,1.5,2,1.12
0.6,3,1.5,0,2.28
0.6,3,1.5,1,33.12
0.6,3,1.5,2,1.9
0.8,3,1.5,0,3.98
0.8,3,1.5,1,54.78
0.8,3,1.5,2,1.18
1.0,3,1.5,0,0.62
1.0,3,1.5,1,2.22
1.0,3,1.5,2,0.62
1.2,3,1.5,0,1.46
1.2,3,1.5,1,1.2
1.2,3,1.5,2,0.86
1.4,3,1.5,0,46.04
1.4,3,1.5,1,2.5
1.4,3,1.5,2,0.78
1.6,3,1.5,0,1.08
1.6,3,1.5,1,1.3
1.6,3,1.5,2,1.18
1.8,3,1.5,0,1.52
1.8,3,1.5,1,0.66
1.8,3,1.5,2,0.6
2.0,3,1.5,0,0.86
2.0,3,1.5,1,0.6
2.0,3,1.5,2,4.64
2.2,3,1.5,0,1.02
2.2,3,1.5,1,0.98
2.2,3,1.5,2,1.08
2.4,3,1.5,0,59.5
2.4,3,1.5,1,0.94
2.4,3,1.5,2,0.8
2.6,3,1.5,0,1.72
2.6,3,1.5,1,0.76
2.6,3,1.5,2,0.72
2.8,3,1.5,0,0.72
2.8,3,1.5,1,0.76
2.8,3,1.5,2,0.6
3.0,3,1.5,0,0.6
3.0,3,1.5,1,0.74
3.0,3,1.5,2,2.64
3.2,3,1.5,0,3.1
3.2,3,1.5,1,1.08
3.2,3,1.5,2,0.84
3.4,3,1.5,0,0.58
3.4,3,1.5,1,1.04
3.4,3,1.5,2,0.54
3.6,3,1.5,0,0.56
3.6,3,1.5,1,1.38
3.6,3,1.5,2,0.8
3.8,3,1.5,0,0.72
3.8,3,1.5,1,0.72
3.8,3,1.5,2,76.48
0.0,4,0.0,0,0.96
0.0,4,0.0,1,0.9
0.0,4,0.0,2,1.74
0.2,4,2.0,0,1.92
0.2,4,2.0,1,58.78
0.2,4,2.0,2,1.44
0.4,4,2.0,0,0.84
0.4,4,2.0,1,0.64
0.4,4,2.0,2,0.86
0.6,4,2.0,0,1.22
0.6,4,2.0,1,0.64
0.6,4,2.0,2,0.78
0.8,4,2.0,0,1.32
0.8,4,2.0,1,0.92
0.8,4,2.0,2,2.92
1.0,4,2.0,0,0.78
1.0,4,2.0,1,0.62
1.0,4,2.0,2,4.06
1.2,4,2.0,0,0.9
1.2,4,2.0,1,0.62
1.2,4,2.0,2,1.06
1.4,4,2.0,0,0.92
1.4,4,2.0,1,1.98
1.4,4,2.0,2,0.6
1.6,4,2.0,0,0.76
1.6,4,2.0,1,0.6
1.6,4,2.0,2,0.74
1.8,4,2.0,0,0.94
1.8,4,2.0,1,0.6
1.8,4,2.0,2,0.7
2.0,4,2.0,0,0.58
2.0,4,2.0,1,0.78
2.0,4,2.0,2,0.84
2.2,4,2.0,0,0.78
2.2,4,2.0,1,0.58
2.2,4,2.0,2,0.94
2.4,4,2.0,0,1.48
2.4,4,2.0,1,0.64
2.4,4,2.0,2,0.58
2.6,4,2.0,0,0.66
2.6,4,2.0,1,0.66
2.6,4,2.0,2,0.58
2.8,4,2.0,0,0.56
2.8,4,2.0,1,0.56
2.8,4,2.0,2,68.42
3.0,4,2.0,0,0.58
3.0,4,2.0,1,0.58
3.0,4,2.0,2,0.6
3.2,4,2.0,0,0.74
3.2,4,2.0,1,16.52
3.2,4,2.0,2,0.54
3.4,4,2.0,0,0.54
3.4,4,2.0,1,0.56
3.4,4,2.0,2,0.58
3.6,4,2.0,0,0.54
3.6,4,2.0,1,0.58
3.6,4,2.0,2,68.74
3.8,4,2.0,0,0.54
3.8,4,2.0,1,0.58
3.8,4,2.0,2,0.58
0.0,5,0.0,0,1.3
0.0,5,0.0,1,1.88
0.0,5,0.0,2,4.12
0.2,5,2.5,0,1.2
0.2,5,2.5,1,0.82
0.2,5,2.5,2,1.54
0.4,5,2.5,0,1.84
0.4,5,2.5,1,0.84
0.4,5,2.5,2,1.06
0.6,5,2.5,0,0.78
0.6,5,2.5,1,1.72
0.6,5,2.5,2,0.78
0.8,5,2.5,0,1.14
0.8,5,2.5,1,1.08
0.8,5,2.5,2,1.04
1.0,5,2.5,0,1.54
1.0,5,2.5,1,4.04
1.0,5,2.5,2,1.12
1.2,5,2.5,0,18.58
1.2,5,2.5,1,1.8
1.2,5,2.5,2,2.38
1.4,5,2.5,0,0.68
1.4,5,2.5,1,0.8
1.4,5,2.5,2,2.04
1.6,5,2.5,0,0.74
1.6,5,2.5,1,0.58
1.6,5,2.5,2,67.58
1.8,5,2.5,0,0.68
1.8,5,2.5,1,0.74
1.8,5,2.5,2,68.36
2.0,5,2.5,0,1.12
2.0,5,2.5,1,0.54
2.0,5,2.5,2,1.04
2.2,5,2.5,0,1.3
2.2,5,2.5,1,0.6
2.2,5,2.5,2,0.56
2.4,5,2.5,0,1.1
2.4,5,2.5,1,0.54
2.4,5,2.5,2,0.66
2.6,5,2.5,0,5.28
2.6,5,2.5,1,0.58
2.6,5,2.5,2,0.58
2.8,5,2.5,0,0.58
2.8,5,2.5,1,0.62
2.8,5,2.5,2,0.54
3.0,5,2.5,0,0.52
3.0,5,2.5,1,0.52
3.0,5,2.5,2,74.96
3.2,5,2.5,0,0.5
3.2,5,2.5,1,0.54
3.2,5,2.5,2,0.54
3.4,5,2.5,0,0.5
3.4,5,2.5,1,0.54
3.4,5,2.5,2,0.52
3.6,5,2.5,0,78.38
3.6,5,2.5,1,0.52
3.6,5,2.5,2,0.52
3.8,5,2.5,0,0.52
3.8,5,2.5,1,89.94
3.8,5,2.5,2,0.48
0.0,6,0.0,0,1.02
0.0,6,0.0,1,1.24
0.0,6,0.0,2,1.14
0.2,6,3.0,0,1.9
0.2,6,3.0,1,1.32
0.2,6,3.0,2,51.96
0.4,6,3.0,0,1.32
0.4,6,3.0,1,1.56
0.4,6,3.0,2,0.7
0.6,6,3.0,0,1.22
0.6,6,3.0,1,0.88
0.6,6,3.0,2,3.66
0.8,6,3.0,0,0.76
0.8,6,3.0,1,0.9
0.8,6,3.0,2,6.06
1.0,6,3.0,0,0.7
1.0,6,3.0,1,0.92
1.0,6,3.0,2,0.66
1.2,6,3.0,0,1.24
1.2,6,3.0,1,0.82
1.2,6,3.0,2,52.6
