c_w,k,numGapJns,rep,spikeRate
0.0,0,0.0,0,25.88
0.0,0,0.0,1,23.66
0.0,0,0.0,2,23.84
0.0,0,0.0,3,26.36
0.0,0,0.0,4,23.26
0.025,0,0.0,0,23.42
0.025,0,0.0,1,22.28
0.025,0,0.0,2,25.74
0.025,0,0.0,3,22.3
0.025,0,0.0,4,25.58
0.05,0,0.0,0,24.0
0.05,0,0.0,1,26.26
0.05,0,0.0,2,22.26
0.05,0,0.0,3,20.04
0.05,0,0.0,4,24.1
0.075,0,0.0,0,22.0
0.075,0,0.0,1,23.12
0.075,0,0.0,2,21.92
0.075,0,0.0,3,27.18
0.075,0,0.0,4,25.52
0.1,0,0.0,0,22.98
0.1,0,0.0,1,23.64
0.1,0,0.0,2,26.42
0.1,0,0.0,3,23.86
0.1,0,0.0,4,25.34
0.125,0,0.0,0,23.84
0.125,0,0.0,1,21.74
0.125,0,0.0,2,22.4
0.125,0,0.0,3,24.0
0.125,0,0.0,4,24.44
0.15,0,0.0,0,23.28
0.15,0,0.0,1,24.42
0.15,0,0.0,2,21.8
0.15,0,0.0,3,23.84
0.15,0,0.0,4,14.12
0.175,0,0.0,0,25.2
0.175,0,0.0,1,23.38
0.175,0,0.0,2,21.88
0.175,0,0.0,3,25.24
0.175,0,0.0,4,26.7
0.2,0,0.0,0,21.76
0.2,0,0.0,1,25.48
0.2,0,0.0,2,24.52
0.2,0,0.0,3,24.56
0.2,0,0.0,4,27.1
0.225,0,0.0,0,23.48
0.225,0,0.0,1,25.86
0.225,0,0.0,2,23.46
0.225,0,0.0,3,16.78
0.225,0,0.0,4,25.7
0.25,0,0.0,0,25.36
0.25,0,0.0,1,26.72
0.25,0,0.0,2,22.04
0.25,0,0.0,3,25.28
0.25,0,0.0,4,25.7
0.275,0,0.0,0,23.92
0.275,0,0.0,1,19.82
0.275,0,0.0,2,24.58
0.275,0,0.0,3,0.26
0.275,0,0.0,4,23.34
0.3,0,0.0,0,23.78
0.3,0,0.0,1,24.12
0.3,0,0.0,2,26.12
0.3,0,0.0,3,25.18
0.3,0,0.0,4,25.74
0.325,0,0.0,0,25.98
0.325,0,0.0,1,23.84
0.325,0,0.0,2,21.16
0.325,0,0.0,3,23.76
0.325,0,0.0,4,25.3
0.35,0,0.0,0,25.5
0.35,0,0.0,1,25.06
0.35,0,0.0,2,23.78
0.35,0,0.0,3,25.1
0.35,0,0.0,4,23.78
0.375,0,0.0,0,23.24
0.375,0,0.0,1,23.76
0.375,0,0.0,2,26.26
0.375,0,0.0,3,19.34
0.375,0,0.0,4,23.58
0.4,0,0.0,0,24.28
0.4,0,0.0,1,23.72
0.4,0,0.0,2,0.26
0.4,0,0.0,3,25.44
0.4,0,0.0,4,25.74
0.425,0,0.0,0,16.86
0.425,0,0.0,1,23.82
0.425,0,0.0,2,24.38
0.425,0,0.0,3,14.12
0.425,0,0.0,4,25.42
0.45,0,0.0,0,19.3
0.45,0,0.0,1,18.06
0.45,0,0.0,2,19.78
0.45,0,0.0,3,23.24
0.45,0,0.0,4,21.7
0.475,0,0.0,0,24.74
0.475,0,0.0,1,23.56
0.475,0,0.0,2,24.82
0.475,0,0.0,3,24.84
0.475,0,0.0,4,23.78
0.5,0,0.0,0,23.52
0.5,0,0.0,1,24.76
0.5,0,0.0,2,25.22
0.5,0,0.0,3,23.26
0.5,0,0.0,4,24.52
0.525,0,0.0,0,25.14
0.525,0,0.0,1,25.32
0.525,0,0.0,2,25.82
0.525,0,0.0,3,19.68
0.525,0,0.0,4,19.6
0.55,0,0.0,0,15.7
0.55,0,0.0,1,23.62
0.55,0,0.0,2,22.18
0.55,0,0.0,3,24.82
0.55,0,0.0,4,22.22
0.575,0,0.0,0,24.0
0.575,0,0.0,1,24.0
0.575,0,0.0,2,0.26
0.575,0,0.0,3,19.86
0.575,0,0.0,4,25.5
0.6,0,0.0,0,24.58
0.6,0,0.0,1,23.98
0.6,0,0.0,2,24.0
0.6,0,0.0,3,22.14
0.6,0,0.0,4,23.44
0.625,0,0.0,0,24.96
0.625,0,0.0,1,24.0
0.625,0,0.0,2,24.6
0.625,0,0.0,3,23.66
0.625,0,0.0,4,22.44
0.65,0,0.0,0,23.76
0.65,0,0.0,1,24.88
0.65,0,0.0,2,26.78
0.65,0,0.0,3,24.7
0.65,0,0.0,4,23.22
0.675,0,0.0,0,0.26
0.675,0,0.0,1,25.22
0.675,0,0.0,2,24.76
0.675,0,0.0,3,23.86
0.675,0,0.0,4,23.12
0.7,0,0.0,0,19.72
0.7,0,0.0,1,25.46
0.7,0,0.0,2,22.94
0.7,0,0.0,3,23.54
0.7,0,0.0,4,21.92
0.725,0,0.0,0,23.28
0.725,0,0.0,1,21.86
0.725,0,0.0,2,24.0
0.725,0,0.0,3,25.8
0.725,0,0.0,4,13.7
0.75,0,0.0,0,12.16
0.75,0,0.0,1,24.46
0.75,0,0.0,2,23.4
0.75,0,0.0,3,23.34
0.75,0,0.0,4,17.94
0.775,0,0.0,0,25.22
0.775,0,0.0,1,25.02
0.775,0,0.0,2,21.36
0.775,0,0.0,3,23.9
0.775,0,0.0,4,23.84
0.8,0,0.0,0,23.62
0.8,0,0.0,1,23.5
0.8,0,0.0,2,23.28
0.8,0,0.0,3,25.18
0.8,0,0.0,4,18.42
0.825,0,0.0,0,23.72
0.825,0,0.0,1,22.3
0.825,0,0.0,2,23.78
0.825,0,0.0,3,14.36
0.825,0,0.0,4,22.28
0.85,0,0.0,0,23.44
0.85,0,0.0,1,24.84
0.85,0,0.0,2,25.68
0.85,0,0.0,3,24.26
0.85,0,0.0,4,25.38
0.875,0,0.0,0,19.42
0.875,0,0.0,1,22.06
0.875,0,0.0,2,24.9
0.875,0,0.0,3,23.28
0.875,0,0.0,4,25.52
0.9,0,0.0,0,25.42
0.9,0,0.0,1,23.64
0.9,0,0.0,2,23.98
0.9,0,0.0,3,23.76
0.9,0,0.0,4,26.26
0.925,0,0.0,0,19.6
0.925,0,0.0,1,23.8
0.925,0,0.0,2,23.46
0.925,0,0.0,3,21.78
0.925,0,0.0,4,25.66
0.95,0,0.0,0,25.94
0.95,0,0.0,1,26.02
0.95,0,0.0,2,22.48
0.95,0,0.0,3,24.08
0.95,0,0.0,4,23.74
0.975,0,0.0,0,26.32
0.975,0,0.0,1,23.86
0.975,0,0.0,2,23.64
0.975,0,0.0,3,24.64
0.975,0,0.0,4,24.52
0.0,1,0.0,0,24.7
0.0,1,0.0,1,23.9
0.0,1,0.0,2,20.64
0.0,1,0.0,3,25.1
0.0,1,0.0,4,24.96
0.025,1,0.5,0,21.58
0.025,1,0.5,1,23.52
0.025,1,0.5,2,23.54
0.025,1,0.5,3,25.38
0.025,1,0.5,4,23.94
0.05,1,0.5,0,23.54
0.05,1,0.5,1,24.04
0.05,1,0.5,2,23.76
0.05,1,0.5,3,24.0
0.05,1,0.5,4,25.16
0.075,1,0.5,0,22.72
0.075,1,0.5,1,24.96
0.075,1,0.5,2,21.8
0.075,1,0.5,3,21.8
0.075,1,0.5,4,26.0
0.1,1,0.5,0,25.64
0.1,1,0.5,1,23.44
0.1,1,0.5,2,25.14
0.1,1,0.5,3,24.32
0.1,1,0.5,4,26.0
0.125,1,0.5,0,21.48
0.125,1,0.5,1,24.0
0.125,1,0.5,2,21.94
0.125,1,0.5,3,22.04
0.125,1,0.5,4,25.62
0.15,1,0.5,0,22.14
0.15,1,0.5,1,23.82
0.15,1,0.5,2,24.0
0.15,1,0.5,3,21.9
0.15,1,0.5,4,22.6
0.175,1,0.5,0,23.76
